step,hp_metric,lr-AdamW,val_mse,val_mono,val_convex,val_excurv,val_loss,epoch,train_mse,train_mono,train_convex,train_excurv,train_loss,test_loss,test/stats/mae_mean,test/stats/mae_std,test/stats/mae_median,test/stats/rmse_mean,test/stats/rmse_std,test/stats/rmse_median,test/stats/r2_mean,test/stats/r2_std,test/stats/r2_median,test/stats/isc_error_abs_mean,test/stats/isc_error_abs_median,test/stats/voc_error_abs_mean,test/stats/voc_error_abs_median,test/stats/voc_prediction_rate
2449,,0.0023724904749542475,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,,0.002409274922683835,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,,0.0024461534339934587,,,,,,,,,,,,,,,,,,,,,,,,,,
2524,,0.002483118325471878,,,,,,,,,,,,,,,,,,,,,,,,,,
2549,,0.0025201623793691397,,,,,,,,,,,,,,,,,,,,,,,,,,
2574,,0.0025572783779352903,,,,,,,,,,,,,,,,,,,,,,,,,,
2599,,0.002594458870589733,,,,,,,,,,,,,,,,,,,,,,,,,,
2624,,0.002631696406751871,,,,,,,,,,,,,,,,,,,,,,,,,,
2649,,0.0026689840015023947,,,,,,,,,,,,,,,,,,,,,,,,,,
2674,,0.0027063139714300632,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,,0.00274367886595428,,,,,,,,,,,,,,,,,,,,,,,,,,
2724,,0.002781071700155735,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,,0.0028184845577925444,,,,,,,,,,,,,,,,,,,,,,,,,,
2774,,0.0028559104539453983,,,,,,,,,,,,,,,,,,,,,,,,,,
2799,,0.0028933417052030563,,,,,,,,,,,,,,,,,,,,,,,,,,
2824,,0.002930771093815565,,,,,,,,,,,,,,,,,,,,,,,,,,
2849,,0.0029681911692023277,,,,,,,,,,,,,,,,,,,,,,,,,,
2874,,0.0030055944807827473,,,,,,,,,,,,,,,,,,,,,,,,,,
2899,,0.003042973577976227,,,,,,,,,,,,,,,,,,,,,,,,,,
2924,,0.003080321243032813,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,,0.003117630025371909,,,,,,,,,,,,,,,,,,,,,,,,,,
2974,,0.0031548927072435617,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,,0.0031921016052365303,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,,0.003229249268770218,,,,,,,,,,,,,,,,,,,,,,,,,,
3049,,0.0032663289457559586,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,,0.003303332719951868,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,,0.0033402536064386368,,,,,,,,,,,,,,,,,,,,,,,,,,
3124,,0.003377083921805024,,,,,,,,,,,,,,,,,,,,,,,,,,
